Name;Alter;Letzter Besuch;Ort
Peter;69;01.08.2010 00:00:00;Köln
Paul;97;25.03.2011 00:00:00;München
Maria;74;12.09.2010 00:00:00;Hamburg
Jupp;35;19.10.2009 00:00:00;Berlin
Jopi;99;16.04.2011 00:00:00;Wanne-Eikel
Pumuckl;53;18.03.2010 00:00:00;Bottrop
Hanna;85;19.12.2010 00:00:00;Essen
Jakob;84;11.12.2010 00:00:00;Wuppertal
Stefan;51;04.03.2010 00:00:00;Köln
Karli;51;04.03.2010 00:00:00;München
Mike;9;11.03.2009 00:00:00;Hamburg
Mausi;30;07.09.2009 00:00:00;Berlin
Peter;6;15.02.2009 00:00:00;Wanne-Eikel
Paul;66;12.07.2010 00:00:00;Bottrop
Maria;10;23.03.2009 00:00:00;Essen
Jupp;5;04.02.2009 00:00:00;Wuppertal
Jopi;43;28.12.2009 00:00:00;Köln
Pumuckl;24;14.07.2009 00:00:00;München
Hanna;37;04.11.2009 00:00:00;Hamburg
Jakob;8;05.03.2009 00:00:00;Berlin
Stefan;58;05.05.2010 00:00:00;Wanne-Eikel
Karli;74;10.09.2010 00:00:00;Bottrop
Mike;37;03.11.2009 00:00:00;Essen
Mausi;51;04.03.2010 00:00:00;Wuppertal
Peter;93;26.02.2011 00:00:00;Köln
Paul;50;26.02.2010 00:00:00;München
Maria;97;31.03.2011 00:00:00;Hamburg
Jupp;94;28.02.2011 00:00:00;Berlin
Jopi;52;11.03.2010 00:00:00;Wanne-Eikel
Pumuckl;33;03.10.2009 00:00:00;Bottrop
Hanna;47;29.01.2010 00:00:00;Essen
Jakob;103;22.05.2011 00:00:00;Wuppertal
Stefan;6;14.02.2009 00:00:00;Köln
Karli;100;25.04.2011 00:00:00;München
Mike;15;06.05.2009 00:00:00;Hamburg
Mausi;64;22.06.2010 00:00:00;Berlin
Peter;13;20.04.2009 00:00:00;Wanne-Eikel
Paul;100;21.04.2011 00:00:00;Bottrop
Maria;12;06.04.2009 00:00:00;Essen
Jupp;57;22.04.2010 00:00:00;Wuppertal
Jopi;84;07.12.2010 00:00:00;Köln
Pumuckl;24;16.07.2009 00:00:00;München
Hanna;63;11.06.2010 00:00:00;Hamburg
Jakob;78;22.10.2010 00:00:00;Berlin
Stefan;80;07.11.2010 00:00:00;Wanne-Eikel
Karli;51;01.03.2010 00:00:00;Bottrop
Mike;103;18.05.2011 00:00:00;Essen
Mausi;99;12.04.2011 00:00:00;Wuppertal
Peter;46;20.01.2010 00:00:00;Köln
Paul;70;09.08.2010 00:00:00;München
Maria;2;17.01.2009 00:00:00;Hamburg
Jupp;39;19.11.2009 00:00:00;Berlin
Jopi;54;29.03.2010 00:00:00;Wanne-Eikel
Pumuckl;70;08.08.2010 00:00:00;Bottrop
Hanna;12;04.04.2009 00:00:00;Essen
Jakob;100;20.04.2011 00:00:00;Wuppertal
Stefan;60;22.05.2010 00:00:00;Köln
Karli;23;11.07.2009 00:00:00;München
Mike;46;21.01.2010 00:00:00;Hamburg
Mausi;49;18.02.2010 00:00:00;Berlin
Peter;60;17.05.2010 00:00:00;Wanne-Eikel
Paul;96;21.03.2011 00:00:00;Bottrop
Maria;33;02.10.2009 00:00:00;Essen
Jupp;18;01.06.2009 00:00:00;Wuppertal
Jopi;4;03.02.2009 00:00:00;Köln
Pumuckl;10;19.03.2009 00:00:00;München
Hanna;25;25.07.2009 00:00:00;Hamburg
Jakob;10;23.03.2009 00:00:00;Berlin
Stefan;52;08.03.2010 00:00:00;Wanne-Eikel
Karli;51;28.02.2010 00:00:00;Bottrop
Mike;96;16.03.2011 00:00:00;Essen
Mausi;48;06.02.2010 00:00:00;Wuppertal
Peter;12;09.04.2009 00:00:00;Köln
Paul;85;13.12.2010 00:00:00;München
Maria;29;26.08.2009 00:00:00;Hamburg
Jupp;35;21.10.2009 00:00:00;Berlin
Jopi;11;02.04.2009 00:00:00;Wanne-Eikel
Pumuckl;63;12.06.2010 00:00:00;Bottrop
Hanna;75;25.09.2010 00:00:00;Essen
Jakob;43;28.12.2009 00:00:00;Wuppertal
Stefan;52;10.03.2010 00:00:00;Köln
Karli;103;19.05.2011 00:00:00;München
Mike;48;08.02.2010 00:00:00;Hamburg
Mausi;87;31.12.2010 00:00:00;Berlin
Peter;31;17.09.2009 00:00:00;Wanne-Eikel
Paul;9;13.03.2009 00:00:00;Bottrop
Maria;50;23.02.2010 00:00:00;Essen
Jupp;41;06.12.2009 00:00:00;Wuppertal
Jopi;89;22.01.2011 00:00:00;Köln
Pumuckl;20;15.06.2009 00:00:00;München
Hanna;4;01.02.2009 00:00:00;Hamburg
Jakob;95;10.03.2011 00:00:00;Berlin
Stefan;54;31.03.2010 00:00:00;Wanne-Eikel
Karli;67;17.07.2010 00:00:00;Bottrop
Mike;102;05.05.2011 00:00:00;Essen
Mausi;92;16.02.2011 00:00:00;Wuppertal
Peter;95;13.03.2011 00:00:00;Köln
Paul;45;11.01.2010 00:00:00;München
Maria;74;19.09.2010 00:00:00;Hamburg
Jupp;71;21.08.2010 00:00:00;Berlin
Jopi;26;08.08.2009 00:00:00;Wanne-Eikel
Pumuckl;93;26.02.2011 00:00:00;Bottrop
Hanna;48;04.02.2010 00:00:00;Essen
Jakob;100;21.04.2011 00:00:00;Wuppertal
Stefan;79;24.10.2010 00:00:00;Köln
Karli;59;11.05.2010 00:00:00;München
Mike;27;12.08.2009 00:00:00;Hamburg
Mausi;74;14.09.2010 00:00:00;Berlin
Peter;41;13.12.2009 00:00:00;Wanne-Eikel
Paul;81;11.11.2010 00:00:00;Bottrop
Maria;89;19.01.2011 00:00:00;Essen
Jupp;102;10.05.2011 00:00:00;Wuppertal
Jopi;52;16.03.2010 00:00:00;Köln
